#	Pocet listov vs time vs recall, 10k , MultiCore, rozne velkosti datasets
#
#Pocet       100K	      300K	      500k	      1M
#listov	time[s] recall  time[s] recall  time[s] recall  time[s] recall
#
64	0.16969	21.33	0.16898	17.53	0.17161	15.85	0.18511	13.87
128	0.32439	31.16	0.33231	26.24	0.33182	24.03	0.35309	20.68
256	0.64066	42.63	0.64406	36.05	0.65685	33.79	0.66613	29.29
512	1.28889	54.92	1.37862	47.1	1.28826	44.24	1.3153	39.54
1024	2.52529	68.34	2.55506	58.88	2.68096	55.75	2.57172	50.34
2048	5.06492	79.74	5.2828	70.87	5.07769	67.48	5.25765	61.63
4096	9.99842	89.39	10.1485	81.45	10.2558	78.2	10.4213	72.79
8192	20.3155	95.55	20.4097	89.62	20.5698	86.77	20.806	82.42
16384	41.6293	98.55	41.4991	95.16	41.6938	93.34	41.7031	89.95
32768	86.6231	99.69	84.8995	98.17	85.2032	97.00	84.2961	95.14
65536	186.123	99.97	176.786	99.64	174.494	99.15	172.368	98.11

