#	Pocet listov vs time vs recall, 10k , 1Core, rozne velkosti datasets
#
#Pocet       100K	      300K	      500k	      1M
#listov	time[s] recall  time[s] recall  time[s] recall  time[s] recall
#
 64	0.40590	21.33	0.41697	17.53	0.42545	15.85	0.44254	13.87
 128	0.77741	31.16	0.79149	26.24	0.80213	24.03	0.82759	20.68
 256	1.50428	42.63	1.5366	36.05	1.54909	33.79	1.57866	29.29
 512	2.97455	54.92	3.02265	47.1	3.04019	44.24	3.08462	39.54
 1024	5.91071	68.34	5.99126	58.88	6.01949	55.75	6.09687	50.34
 2048	11.7694	79.74	11.9241	70.87	11.9689	67.48	12.0984	61.63
 4096	23.5453	89.39	23.8392	81.45	23.9006	78.2	24.1314	72.79
 8192	47.4547	95.55	47.8807	89.62	47.9553	86.77	48.3113	82.42
 16384	96.8023	98.55	96.774	95.16	96.6796	93.34	97.0777	89.95
 32768	199.655	99.69	197.522	98.17	196.286	97.00	195.881	95.14
 65536	431.387	99.97	410.198	99.64	403.263	99.15	397.923	98.11


